test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.3214,0.1628,0.792,0.1018,0.794,0.1033
0.3201,0.16,0.7932,0.1029,0.7946,0.1032
0.3232,0.1589,0.7933,0.103,0.7942,0.1042
0.3243,0.1604,0.793,0.103,0.795,0.1045
0.3272,0.1642,0.7935,0.1041,0.7948,0.1048
0.3261,0.1601,0.7932,0.1039,0.7946,0.1057
0.3206,0.1638,0.7929,0.1033,0.7949,0.1059
0.323,0.1645,0.7952,0.1042,0.7952,0.1066
0.3269,0.1497,0.7948,0.1044,0.7956,0.1067
0.3281,0.1511,0.7942,0.1053,0.7959,0.1068
0.3222,0.1539,0.7983,0.1051,0.796,0.1064
0.3232,0.1489,0.7952,0.1045,0.7963,0.1062
0.3269,0.1491,0.7955,0.1051,0.7967,0.1063
0.3255,0.1531,0.7955,0.1048,0.7969,0.1065
0.3255,0.1532,0.7964,0.1054,0.7975,0.1066
0.3213,0.1485,0.7974,0.1054,0.7979,0.1066
0.3242,0.1557,0.7985,0.1061,0.7978,0.1065
0.3212,0.1549,0.7975,0.1063,0.7983,0.107
0.3222,0.1548,0.7959,0.1065,0.797,0.1069
0.3208,0.1584,0.795,0.1057,0.7978,0.1069
0.3241,0.1559,0.7953,0.1059,0.798,0.107
0.3203,0.1557,0.7965,0.1063,0.7983,0.1068
0.3221,0.1588,0.7965,0.1067,0.7978,0.1069
0.3233,0.1604,0.7953,0.1072,0.7967,0.1074
0.3229,0.1601,0.7976,0.1075,0.7972,0.1073
0.3232,0.1602,0.7958,0.1078,0.7976,0.1076
0.3227,0.1599,0.7964,0.1083,0.7966,0.1075
0.3196,0.1594,0.7976,0.1081,0.7969,0.1085
0.3224,0.1583,0.7951,0.1082,0.7964,0.108
0.3166,0.16,0.7951,0.1087,0.7959,0.1089
0.3159,0.1606,0.7953,0.1085,0.7958,0.109
0.3155,0.1642,0.7948,0.109,0.7964,0.1094
0.3158,0.1575,0.7947,0.1091,0.796,0.1093
0.3133,0.1638,0.7943,0.1092,0.7958,0.1091
0.3149,0.1532,0.7936,0.1096,0.7956,0.1092
0.3109,0.1646,0.7946,0.1087,0.7953,0.1092
0.3149,0.1628,0.7943,0.1092,0.795,0.1091
0.3145,0.1605,0.7944,0.1093,0.795,0.1089
0.3137,0.1629,0.7946,0.1093,0.795,0.1091
0.3114,0.1632,0.7934,0.1097,0.7952,0.1091
0.3116,0.1634,0.7939,0.1093,0.7955,0.1091
0.3148,0.1654,0.7949,0.109,0.796,0.1085
0.3131,0.1623,0.7959,0.1089,0.7959,0.1084
0.3145,0.1624,0.7943,0.1084,0.7946,0.1086
0.3117,0.1629,0.7926,0.1086,0.7949,0.1085
0.3135,0.1613,0.793,0.1083,0.795,0.1083
0.3124,0.1615,0.7934,0.108,0.7954,0.1085
0.319,0.1584,0.7935,0.1078,0.7953,0.1085
0.3146,0.1635,0.793,0.1099,0.7942,0.1092
0.3116,0.1664,0.7926,0.1088,0.7935,0.1093
0.3143,0.1662,0.7926,0.1088,0.7937,0.1091
0.3102,0.1667,0.7936,0.1087,0.794,0.1089
0.3151,0.1656,0.7949,0.1087,0.7941,0.1086
0.31,0.1645,0.7948,0.109,0.7946,0.1085
0.3146,0.1671,0.7943,0.1098,0.7953,0.1088
0.3137,0.1706,0.794,0.1088,0.795,0.1088
0.3139,0.153,0.7943,0.1088,0.7951,0.1086
0.315,0.1499,0.7946,0.1092,0.7962,0.1088
0.3142,0.1567,0.7945,0.1089,0.7949,0.1084
0.3148,0.156,0.795,0.1083,0.7957,0.1082
0.3161,0.155,0.7948,0.1087,0.7958,0.1081
0.3139,0.1549,0.7941,0.1093,0.7961,0.1083
0.3169,0.1507,0.7943,0.1086,0.7962,0.108
0.3206,0.1506,0.7935,0.108,0.7955,0.1083
0.3198,0.15,0.7932,0.1085,0.7955,0.1081
0.3127,0.152,0.792,0.1094,0.7955,0.1094
0.3117,0.1528,0.7914,0.1092,0.7956,0.1093
0.312,0.1504,0.7921,0.1088,0.7959,0.1086
0.3109,0.1496,0.7934,0.1097,0.7959,0.1086
0.309,0.1468,0.7923,0.1092,0.7956,0.1091
0.3115,0.1478,0.7942,0.1081,0.796,0.1087
0.3149,0.1474,0.7948,0.1092,0.7957,0.1086
0.3161,0.1494,0.7936,0.1089,0.7959,0.1082
0.3173,0.1483,0.7953,0.1086,0.7957,0.1081
0.3122,0.1467,0.7921,0.109,0.7962,0.1079
0.3153,0.1486,0.792,0.1081,0.7951,0.1083
0.3099,0.1505,0.7921,0.1085,0.7951,0.1084
0.3168,0.1459,0.7931,0.1085,0.7953,0.1085
0.3136,0.1487,0.7925,0.1087,0.7956,0.1082
0.314,0.1467,0.794,0.109,0.796,0.1082
0.3143,0.1496,0.7934,0.1087,0.7966,0.1082
0.3181,0.1499,0.7923,0.1081,0.7966,0.1083
0.3115,0.1499,0.7935,0.109,0.796,0.1083
0.3186,0.1486,0.7922,0.1094,0.7961,0.1084
0.3143,0.1531,0.7925,0.1088,0.7965,0.1085
0.3154,0.1442,0.7912,0.1093,0.7962,0.1089
0.3135,0.1486,0.793,0.1097,0.7957,0.1089
0.3127,0.1519,0.7918,0.1088,0.7964,0.1087
0.3143,0.151,0.7936,0.1083,0.797,0.1083
0.3131,0.1499,0.7945,0.1079,0.7973,0.1079
0.3138,0.1538,0.7942,0.1084,0.7961,0.1083
0.3187,0.1515,0.7945,0.1081,0.7966,0.1084
0.319,0.1492,0.794,0.1083,0.7967,0.1081
0.3103,0.1501,0.7935,0.1074,0.7964,0.1082
0.3128,0.1508,0.7934,0.1083,0.7959,0.1087
0.3132,0.1504,0.792,0.1085,0.7952,0.1094
0.311,0.1456,0.7919,0.1077,0.7953,0.1095
0.3123,0.1538,0.794,0.1085,0.7957,0.1089
0.3152,0.1506,0.7933,0.1079,0.7953,0.108
0.3162,0.1518,0.7947,0.1072,0.7966,0.1077
