test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.3243,0.164,0.7922,0.1024,0.7955,0.1032
0.323,0.1578,0.7952,0.1024,0.7959,0.1035
0.3213,0.1578,0.7955,0.1026,0.796,0.1034
0.3234,0.161,0.7976,0.1026,0.7971,0.1035
0.3294,0.1618,0.7989,0.1023,0.7971,0.1038
0.3258,0.1658,0.7982,0.1029,0.7981,0.1039
0.3284,0.1584,0.7977,0.103,0.7991,0.1037
0.3373,0.1589,0.7986,0.1031,0.7989,0.1036
0.3315,0.1573,0.7984,0.1036,0.7993,0.1041
0.3269,0.1606,0.7998,0.1033,0.7996,0.1043
0.332,0.1576,0.7994,0.1039,0.7989,0.1049
0.3281,0.1552,0.7992,0.1039,0.799,0.1054
0.3325,0.1502,0.7998,0.1052,0.7992,0.1055
0.3334,0.1507,0.799,0.1043,0.7994,0.1051
0.3341,0.1485,0.8,0.1049,0.7994,0.1052
0.33,0.151,0.8012,0.1042,0.7996,0.1053
0.3324,0.1509,0.8002,0.1047,0.8002,0.1051
0.3339,0.15,0.8017,0.1058,0.8001,0.1054
0.3334,0.1513,0.8005,0.1047,0.7997,0.1055
0.3328,0.1488,0.8001,0.1048,0.8,0.1053
0.332,0.1528,0.8013,0.1049,0.8004,0.1055
0.3327,0.1508,0.8007,0.1047,0.7998,0.1053
0.326,0.145,0.801,0.1046,0.8014,0.1055
0.3247,0.1445,0.8011,0.1053,0.8015,0.1057
0.3247,0.1499,0.8018,0.1054,0.8012,0.106
0.3239,0.152,0.8011,0.1049,0.8011,0.1061
0.3252,0.1526,0.8,0.1059,0.8014,0.1066
0.3254,0.16,0.7982,0.1058,0.8012,0.1065
0.325,0.1622,0.8009,0.1047,0.801,0.1062
0.3211,0.1583,0.7992,0.1057,0.801,0.1064
0.3186,0.1627,0.7999,0.1054,0.8008,0.1067
0.321,0.1615,0.8015,0.1052,0.8005,0.1066
0.3236,0.1581,0.8019,0.1057,0.8003,0.1065
0.3225,0.1579,0.8009,0.1061,0.8003,0.1064
0.3211,0.1574,0.8011,0.1049,0.8002,0.1063
0.323,0.1559,0.8016,0.1053,0.8003,0.1062
0.3159,0.1561,0.8018,0.1047,0.801,0.1064
0.3192,0.1571,0.8026,0.1045,0.8006,0.1063
0.3207,0.1559,0.8016,0.1052,0.8007,0.1066
0.3179,0.1533,0.8007,0.105,0.8014,0.1068
0.3244,0.1561,0.8014,0.1059,0.8015,0.1068
0.3231,0.1499,0.8013,0.1054,0.8014,0.1068
0.3217,0.1545,0.8009,0.1044,0.8014,0.1067
0.3252,0.1538,0.8022,0.1049,0.801,0.1065
0.3263,0.153,0.8024,0.1054,0.8013,0.1064
0.3259,0.1491,0.803,0.1048,0.8014,0.1064
0.3251,0.1568,0.802,0.1054,0.8014,0.1068
0.3229,0.1543,0.8019,0.1052,0.8014,0.1066
0.3234,0.1569,0.8023,0.1056,0.8018,0.1063
0.3233,0.1578,0.8023,0.1056,0.8017,0.1065
0.3262,0.1587,0.8012,0.1055,0.8019,0.1064
0.3246,0.1561,0.8019,0.1052,0.8017,0.1068
0.3242,0.1556,0.8015,0.1052,0.8012,0.1068
0.324,0.1561,0.801,0.105,0.8017,0.1068
0.3222,0.1599,0.8019,0.1053,0.8018,0.1069
0.3236,0.1581,0.8022,0.1056,0.8018,0.1069
0.3198,0.1599,0.8033,0.1058,0.8012,0.1073
0.3126,0.1591,0.8015,0.106,0.8018,0.1073
0.3143,0.1631,0.8027,0.106,0.802,0.1072
0.3096,0.1593,0.8021,0.1066,0.8016,0.1074
0.3021,0.1587,0.8006,0.1053,0.8012,0.1073
0.3022,0.1596,0.8014,0.1055,0.8015,0.1072
0.3085,0.1628,0.8014,0.105,0.8013,0.107
0.3081,0.1661,0.8014,0.1058,0.8019,0.1067
0.305,0.1589,0.8026,0.1057,0.8021,0.1071
0.2971,0.1611,0.8018,0.1054,0.8018,0.1069
0.2947,0.16,0.8035,0.106,0.8022,0.107
0.2993,0.1581,0.8033,0.1058,0.8019,0.1066
