test_8acc,test_b8acc,test_4acc,test_b4acc,test_32acc,test_b32acc
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
