test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.1345,0.0034,0.1322,0.0014,0.132,0.0013
0.2506,0.066,0.2467,0.0635,0.2468,0.0639
0.3027,0.0701,0.2993,0.0751,0.299,0.0749
0.3348,0.0643,0.3337,0.07,0.3342,0.0697
0.357,0.069,0.3608,0.0645,0.3609,0.0647
0.3679,0.0585,0.3727,0.0582,0.3724,0.0582
0.3876,0.0608,0.3949,0.0609,0.396,0.0613
0.4059,0.0635,0.4112,0.0651,0.4115,0.0653
0.4238,0.0683,0.4282,0.0683,0.4279,0.0683
0.4398,0.0726,0.4438,0.0732,0.445,0.0729
0.4525,0.074,0.4605,0.0772,0.4603,0.0778
0.4662,0.0788,0.4704,0.0829,0.4704,0.0828
0.478,0.0802,0.4837,0.0844,0.4844,0.0845
0.4917,0.0862,0.4967,0.0887,0.496,0.0887
0.502,0.0862,0.5092,0.0903,0.5096,0.0902
0.5124,0.0883,0.5202,0.0881,0.5193,0.0883
0.523,0.0866,0.5265,0.0896,0.5267,0.09
0.5275,0.0851,0.5315,0.0875,0.5312,0.087
0.5322,0.0844,0.5381,0.0869,0.5375,0.0869
0.534,0.0831,0.5445,0.0856,0.5437,0.0857
0.5396,0.08,0.546,0.0841,0.545,0.0843
0.5468,0.0797,0.5524,0.0842,0.5519,0.0839
0.5507,0.0823,0.5588,0.083,0.5577,0.0832
0.558,0.0815,0.5639,0.0823,0.5618,0.0821
0.5645,0.0836,0.5696,0.0822,0.5701,0.0825
0.5668,0.0814,0.5739,0.0827,0.5729,0.0823
0.5685,0.0828,0.5772,0.0834,0.5781,0.0835
0.5739,0.0805,0.5809,0.0821,0.581,0.0823
0.5735,0.0855,0.5848,0.0848,0.5843,0.0841
0.5777,0.0878,0.5884,0.0862,0.5878,0.0857
0.583,0.0897,0.5921,0.0871,0.5916,0.0869
0.5846,0.093,0.593,0.0884,0.5932,0.0879
0.5876,0.0913,0.5968,0.0861,0.5972,0.0868
0.591,0.0887,0.5999,0.0852,0.6004,0.0848
0.5938,0.0912,0.6036,0.0873,0.604,0.0867
0.5958,0.0889,0.6054,0.0851,0.6049,0.0853
0.5991,0.0887,0.6078,0.0856,0.6071,0.0853
0.6006,0.0906,0.6105,0.086,0.6097,0.0864
0.6028,0.0901,0.6124,0.0863,0.6107,0.0862
0.6058,0.0891,0.6136,0.0866,0.6142,0.0865
0.6091,0.0887,0.6169,0.0858,0.6181,0.0858
0.6143,0.0888,0.6202,0.0852,0.62,0.0852
0.6177,0.0883,0.6221,0.0855,0.6225,0.0859
0.6177,0.0906,0.6256,0.0875,0.6267,0.0873
0.6181,0.0883,0.6295,0.0869,0.6301,0.087
0.6215,0.0869,0.6309,0.0887,0.6322,0.0885
0.6254,0.0849,0.6333,0.0885,0.6321,0.0882
0.6276,0.087,0.6351,0.0879,0.6354,0.0877
0.6257,0.0876,0.6383,0.0885,0.6366,0.0884
0.63,0.0882,0.6396,0.0882,0.6393,0.0881
0.6321,0.0888,0.6418,0.0878,0.6413,0.0876
0.632,0.0869,0.644,0.0885,0.6448,0.0885
0.6361,0.0858,0.6454,0.088,0.6457,0.0878
0.636,0.0869,0.6475,0.0871,0.6472,0.0871
0.6376,0.0841,0.6481,0.0865,0.6488,0.0863
0.6386,0.0855,0.6526,0.0866,0.6517,0.0864
0.6341,0.0832,0.6542,0.0881,0.6537,0.0884
0.6383,0.0834,0.6569,0.0872,0.657,0.0875
0.6415,0.0831,0.658,0.0871,0.6579,0.0867
0.64,0.0852,0.6616,0.0883,0.6616,0.0878
0.6446,0.0832,0.6625,0.0879,0.6625,0.0881
0.6441,0.0847,0.6638,0.0889,0.6649,0.0889
0.6428,0.0835,0.6664,0.0883,0.6661,0.0878
0.6454,0.0831,0.6693,0.0894,0.669,0.0885
0.6453,0.0832,0.6704,0.0886,0.6703,0.0887
0.65,0.0841,0.668,0.0886,0.6695,0.0884
0.6522,0.0859,0.671,0.0892,0.6704,0.0886
0.6547,0.084,0.6746,0.0882,0.6741,0.0879
0.6531,0.0855,0.6762,0.0909,0.6762,0.0896
0.652,0.086,0.6778,0.0897,0.6767,0.0902
0.6528,0.088,0.6787,0.0896,0.6782,0.0901
0.6526,0.0859,0.6812,0.0889,0.6806,0.0886
0.6596,0.0855,0.6814,0.0899,0.6809,0.0905
0.661,0.0837,0.6831,0.0908,0.6832,0.0901
0.6591,0.0851,0.6834,0.0916,0.6828,0.091
0.6618,0.0869,0.6857,0.0921,0.686,0.0914
0.6645,0.0883,0.6867,0.091,0.686,0.0903
0.6627,0.0867,0.6879,0.0917,0.6889,0.0915
0.666,0.0886,0.6905,0.0921,0.6912,0.0918
0.6674,0.0873,0.6901,0.0903,0.6907,0.0897
0.6669,0.0892,0.6914,0.0906,0.6928,0.0904
0.6726,0.0885,0.6938,0.0902,0.6926,0.0903
0.6741,0.0901,0.6936,0.0905,0.6935,0.0906
0.6733,0.0877,0.6945,0.0904,0.6966,0.0905
0.6768,0.0875,0.6966,0.0911,0.697,0.0907
0.6732,0.0904,0.6979,0.0912,0.6971,0.0912
0.6771,0.0881,0.6986,0.0907,0.6987,0.0907
0.6771,0.0899,0.7018,0.091,0.7,0.091
0.6751,0.0862,0.7024,0.0905,0.702,0.0898
0.679,0.086,0.7021,0.09,0.7013,0.0899
0.6818,0.0875,0.7044,0.0903,0.7047,0.0904
0.679,0.0883,0.7047,0.0903,0.704,0.0906
0.6833,0.0863,0.7046,0.0896,0.7052,0.09
0.6854,0.0873,0.7082,0.0906,0.7073,0.0907
0.6842,0.0854,0.7054,0.089,0.7058,0.0894
0.6869,0.0893,0.7068,0.0896,0.7083,0.0896
0.6881,0.0887,0.7097,0.0891,0.7087,0.0885
0.6888,0.0886,0.711,0.0888,0.71,0.0887
0.6888,0.0897,0.7121,0.09,0.7119,0.0895
0.6855,0.0926,0.7132,0.0906,0.7132,0.0905
0.6897,0.0912,0.7138,0.0901,0.7127,0.0902
0.6889,0.0908,0.7131,0.09,0.7118,0.0894
0.6953,0.0921,0.7146,0.0906,0.7144,0.0904
0.693,0.0896,0.7157,0.0904,0.716,0.0902
0.6952,0.0922,0.7178,0.0909,0.7167,0.0909
0.6985,0.092,0.7169,0.0903,0.7172,0.0899
0.6994,0.0924,0.7201,0.0895,0.7196,0.0896
0.6968,0.0915,0.7191,0.0904,0.7178,0.0903
0.6991,0.0886,0.7206,0.0907,0.7205,0.0898
0.7015,0.0912,0.7203,0.0915,0.7209,0.0905
0.6984,0.0889,0.7214,0.0913,0.7227,0.091
0.699,0.0903,0.7219,0.0907,0.7224,0.0903
0.7027,0.0905,0.7241,0.0906,0.7255,0.0914
0.6994,0.0936,0.7245,0.0913,0.7255,0.0913
0.7003,0.0923,0.7266,0.0929,0.7263,0.0921
0.7015,0.0931,0.727,0.0907,0.7266,0.0908
0.6987,0.0911,0.726,0.0908,0.7268,0.0911
0.699,0.0891,0.7273,0.0909,0.7269,0.0903
0.6979,0.0918,0.7288,0.0894,0.7278,0.0895
0.696,0.0944,0.7304,0.0913,0.7289,0.0914
0.6993,0.0945,0.7308,0.0928,0.7313,0.0922
0.6994,0.0935,0.7337,0.0912,0.733,0.0912
0.6977,0.0944,0.7335,0.0932,0.7334,0.093
0.7009,0.0971,0.7318,0.093,0.7329,0.093
0.7009,0.0962,0.7319,0.0916,0.7334,0.092
0.7066,0.0951,0.7345,0.0916,0.7353,0.0918
0.7045,0.0929,0.7335,0.0924,0.7342,0.0923
0.7041,0.0949,0.7334,0.0926,0.7332,0.0931
0.7075,0.0945,0.7338,0.091,0.7338,0.0914
0.7059,0.0942,0.7354,0.0914,0.736,0.0919
0.7077,0.0924,0.7356,0.092,0.7358,0.0922
0.7085,0.0923,0.7357,0.0921,0.7365,0.0926
0.7088,0.0946,0.7385,0.0925,0.7381,0.0928
0.7062,0.0944,0.7374,0.0908,0.738,0.0908
0.7081,0.0923,0.7396,0.0912,0.739,0.0914
0.7094,0.0908,0.7374,0.0909,0.7386,0.0908
0.7077,0.0912,0.7386,0.0903,0.7384,0.0902
0.7076,0.093,0.7394,0.0922,0.7401,0.0922
0.71,0.0943,0.7389,0.0918,0.7387,0.0918
0.7071,0.0928,0.7399,0.0922,0.7402,0.0919
0.7095,0.0903,0.741,0.091,0.7409,0.091
0.7096,0.0914,0.741,0.0913,0.7419,0.0916
0.7099,0.093,0.7426,0.0917,0.742,0.0925
0.7098,0.0928,0.7418,0.0922,0.7434,0.0921
0.7108,0.0918,0.7431,0.0914,0.7442,0.0918
0.7075,0.0894,0.7437,0.092,0.7446,0.0914
0.7091,0.088,0.7427,0.0919,0.7431,0.0923
0.7117,0.0877,0.7435,0.091,0.7432,0.0913
0.7093,0.0883,0.7423,0.0899,0.7431,0.0906
0.7068,0.088,0.743,0.091,0.7432,0.091
0.7095,0.0897,0.7442,0.0913,0.7439,0.0915
0.712,0.0928,0.7437,0.0926,0.7425,0.0922
0.7121,0.0911,0.7433,0.0918,0.7431,0.092
0.7131,0.0947,0.7448,0.0928,0.744,0.0932
