test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.1001,0.0,0.1001,0.0,0.1001,0.0
0.1121,0.0,0.1153,0.0,0.1155,0.0
0.1402,0.0,0.1404,0.0,0.1404,0.0
0.1563,0.0002,0.1538,0.0,0.1536,0.0
0.1621,0.0005,0.1615,0.0001,0.1616,0.0002
0.1694,0.0008,0.1701,0.0009,0.1695,0.0009
0.1852,0.0019,0.1805,0.0018,0.1803,0.002
0.1873,0.0015,0.1836,0.0022,0.1838,0.0022
0.1875,0.0011,0.1819,0.0013,0.182,0.0014
0.1988,0.0004,0.1911,0.001,0.1914,0.001
0.1936,0.0006,0.1885,0.0009,0.1883,0.0011
0.1926,0.0003,0.1917,0.0004,0.1921,0.0004
0.1939,0.0005,0.1918,0.0003,0.1919,0.0003
0.194,0.0002,0.1944,0.0003,0.1948,0.0003
0.1897,0.0004,0.192,0.0003,0.1918,0.0003
0.184,0.0002,0.1883,0.0002,0.1885,0.0002
0.1825,0.0001,0.19,0.0002,0.1897,0.0002
0.1808,0.0004,0.1864,0.0001,0.1862,0.0001
0.1837,0.0001,0.1903,0.0001,0.1903,0.0001
0.1844,0.0003,0.1911,0.0001,0.1909,0.0001
0.1821,0.0002,0.19,0.0001,0.1896,0.0001
0.1795,0.0002,0.1901,0.0001,0.1899,0.0001
0.1805,0.0002,0.1943,0.0001,0.1944,0.0001
0.1806,0.0,0.1871,0.0001,0.1871,0.0001
0.1766,0.0,0.1892,0.0,0.189,0.0001
0.178,0.0,0.188,0.0001,0.1881,0.0001
0.1793,0.0,0.1909,0.0,0.1915,0.0
0.1774,0.0,0.1879,0.0,0.1889,0.0
0.1752,0.0,0.1872,0.0,0.1869,0.0
0.172,0.0,0.1835,0.0,0.183,0.0
0.1709,0.0,0.1849,0.0,0.1844,0.0
0.1743,0.0,0.1825,0.0,0.1824,0.0
0.1736,0.0,0.1833,0.0,0.1838,0.0
0.1769,0.0,0.1848,0.0,0.1846,0.0
0.175,0.0,0.1836,0.0,0.1831,0.0
0.1733,0.0,0.184,0.0,0.1835,0.0
0.1734,0.0,0.1807,0.0,0.1804,0.0
0.1529,0.0,0.1806,0.0,0.1796,0.0
0.1498,0.0,0.1812,0.0,0.1814,0.0
0.1521,0.0,0.1798,0.0,0.1787,0.0
0.1552,0.0,0.182,0.0,0.1826,0.0
0.1572,0.0,0.1878,0.0,0.1878,0.0
0.1522,0.0,0.1838,0.0,0.1843,0.0
0.1523,0.0,0.1823,0.0,0.1824,0.0
0.1489,0.0,0.1789,0.0,0.1787,0.0
0.1568,0.0,0.1785,0.0,0.1788,0.0
0.1589,0.0,0.1809,0.0,0.1812,0.0
0.1523,0.0,0.1776,0.0,0.1779,0.0
0.1539,0.0,0.1785,0.0,0.179,0.0
0.1573,0.0,0.1779,0.0,0.1777,0.0
0.1615,0.0,0.1817,0.0,0.1811,0.0
0.1646,0.0,0.1823,0.0,0.1821,0.0
0.1586,0.0,0.1784,0.0,0.1792,0.0
0.1636,0.0,0.1788,0.0,0.178,0.0
0.1603,0.0,0.1779,0.0,0.1785,0.0
0.1665,0.0,0.1838,0.0,0.1835,0.0
0.1677,0.0,0.1807,0.0,0.1823,0.0
0.1615,0.0,0.1722,0.0,0.1715,0.0
0.159,0.0,0.1692,0.0,0.1692,0.0
0.1585,0.0,0.1658,0.0,0.166,0.0
0.1608,0.0,0.1715,0.0,0.1722,0.0
0.1599,0.0,0.1725,0.0,0.1734,0.0
0.1592,0.0,0.1716,0.0,0.1732,0.0
0.1605,0.0,0.1684,0.0,0.1685,0.0
0.1595,0.0,0.1708,0.0,0.1693,0.0
0.1719,0.0,0.1789,0.0,0.1785,0.0
0.1647,0.0,0.1757,0.0,0.1755,0.0
0.1649,0.0,0.1756,0.0,0.1756,0.0
0.1545,0.0,0.1641,0.0,0.165,0.0
0.1464,0.0,0.1525,0.0,0.1529,0.0
0.1644,0.0,0.1763,0.0,0.1762,0.0
0.1585,0.0,0.1669,0.0,0.167,0.0
0.1681,0.0,0.177,0.0,0.1774,0.0
0.1686,0.0,0.1687,0.0,0.1701,0.0
0.1629,0.0,0.1634,0.0,0.1636,0.0
0.2058,0.0,0.1656,0.0,0.1655,0.0
