test_4acc,test_b4acc,test_8acc,test_b8acc,test_32acc,test_b32acc
0.1001,0.0,0.0989,0.0,0.0989,0.0
0.0998,0.0,0.1,0.0,0.0999,0.0
0.1007,0.0,0.0994,0.0,0.0992,0.0
0.1006,0.0,0.0995,0.0,0.0993,0.0
0.1,0.0,0.0994,0.0,0.0991,0.0
0.0986,0.0,0.0988,0.0,0.0985,0.0
0.0997,0.0,0.0987,0.0,0.099,0.0
0.0993,0.0,0.0998,0.0,0.0998,0.0
0.1006,0.0,0.0998,0.0,0.0997,0.0
0.1015,0.0,0.1001,0.0,0.1001,0.0
0.1002,0.0003,0.0998,0.0,0.1,0.0
0.1019,0.0007,0.1,0.0,0.0999,0.0
0.1018,0.0003,0.1,0.0,0.1002,0.0
0.1065,0.0153,0.1014,0.0006,0.1017,0.0006
0.1077,0.0077,0.1022,0.0001,0.1025,0.0001
0.1048,0.0134,0.1029,0.0006,0.1034,0.0007
0.105,0.0069,0.1047,0.0,0.1045,0.0
0.1163,0.0266,0.1068,0.0007,0.1072,0.0007
0.1139,0.0006,0.1159,0.0,0.1148,0.0
0.115,0.0,0.1202,0.0,0.1198,0.0
0.1176,0.0,0.1216,0.0,0.1216,0.0
0.1132,0.0,0.1127,0.0,0.1143,0.0
0.1088,0.0,0.1095,0.0,0.1099,0.0
0.101,0.0,0.0982,0.0,0.0984,0.0
0.1009,0.0,0.0986,0.0,0.0985,0.0
0.0994,0.0,0.0993,0.0,0.0994,0.0
0.0996,0.0,0.0998,0.0,0.0998,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1001,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0,0.1,0.0
0.1001,0.0,0.1,0.0,0.1,0.0
0.1001,0.0,0.1,0.0,0.1,0.0
